Algorithm,Log Source,Log,Detected Changepoints,Actual Changepoints for Log,Duration (Seconds),Duration (hh:mm:ss),Parameter Settings
MDD,duration only drift,dataset_1000cases_10min_ABD.xes,[],"[37, 75]",266.208,00:04:26,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_1000cases_10min_ABD_noisy_10%.xes,"[310, 480, 615]","[37, 75]",287.311,00:04:47,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_1000cases_10min_ABD_noisy_20%.xes,"[300, 545]","[37, 75]",419.564,00:06:59,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_1000cases_10min_ABD_noisy_5%.xes,"[330, 485, 730]","[37, 75]",421.777,00:07:01,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_1000cases_20min_ABD.xes,"[295, 435]","[37, 75]",408.231,00:06:48,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_1000cases_20min_ABD_noisy_10%.xes,"[230, 750]","[37, 75]",378.684,00:06:18,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_1000cases_20min_ABD_noisy_20%.xes,"[400, 635, 730]","[37, 75]",235.303,00:03:55,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_1000cases_20min_ABD_noisy_5%.xes,"[245, 390]","[37, 75]",232.838,00:03:52,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_1000cases_30min_ABD.xes,"[280, 680]","[37, 75]",228.358,00:03:48,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_1000cases_30min_ABD_noisy_10%.xes,"[490, 610, 755]","[37, 75]",237.223,00:03:57,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_1000cases_30min_ABD_noisy_20%.xes,"[490, 665]","[37, 75]",232.446,00:03:52,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_1000cases_30min_ABD_noisy_5%.xes,"[635, 775]","[37, 75]",233.716,00:03:53,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_1000cases_40min_ABD.xes,[735],"[37, 75]",228.58,00:03:48,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_1000cases_40min_ABD_noisy_10%.xes,[],"[37, 75]",229.783,00:03:49,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
